MassConcentrationPm1p0,MassConcentrationPm2p5,MassConcentrationPm4p0,MassConcentrationPm10p0,AmbientHumidity,AmbientTemperature,VocIndex,NoxIndex
4.8,5.0,5.0,5.0,59.6,21.42,74.0,1.0
4.6,4.9,4.9,4.9,59.61,21.42,74.0,1.0
4.6,4.9,4.9,4.9,59.62,21.42,74.0,1.0
4.8,5.0,5.0,5.0,59.62,21.42,74.0,1.0
4.8,5.1,5.1,5.1,59.62,21.42,74.0,1.0
4.7,5.0,5.0,5.0,59.61,21.42,74.0,1.0
4.9,5.2,5.2,5.2,59.62,21.42,74.0,1.0
5.0,5.2,5.2,5.2,59.61,21.42,74.0,1.0
5.0,5.2,5.2,5.2,59.62,21.42,74.0,1.0
5.0,5.3,5.3,5.3,59.62,21.42,74.0,1.0
5.1,5.3,5.3,5.3,59.61,21.42,74.0,1.0
4.8,5.0,5.0,5.0,59.6,21.42,73.0,1.0
4.7,4.9,4.9,4.9,59.61,21.42,73.0,1.0
2.3,2.4,2.4,2.4,67.06,20.75,155.0,1.0
2.4,2.5,2.5,2.5,67.08,20.75,155.0,1.0
2.6,2.7,2.7,2.7,67.08,20.75,155.0,1.0
2.6,2.8,2.8,2.8,67.08,20.75,154.0,1.0
